URL	Status	Commits	Issues
https://github.com/longhorn/types	Active	26	0
https://github.com/helium/helium-foundation-k8s	Active	1290	0
https://github.com/dotnet/aspnetdocs	Active	8392	0
https://github.com/microsoft/winget-pkgs	Active	143924	787
https://github.com/microsoft/vscode	Active	123786	8936
https://github.com/microsoft/wsa-linux-kernel	Active	986488	1
https://github.com/kata-containers/linux	Active	1135099	0
https://github.com/intel/mainline-tracking	Active	1072962	1
https://github.com/openamp/linux-openamp-staging	Active	1217090	0
https://github.com/linuxkit/linux	Active	1013093	3
https://github.com/intel/mos	Active	1191347	3
https://github.com/zephyrproject-rtos/zephyr	Active	99876	1746
https://github.com/pytorch/pytorch	Active	76967	13669
https://github.com/google/earthengine-api	Active	584	0
https://github.com/microsoft/typescript	Active	36187	5216
https://github.com/enterprise-cmcs/mac-fc-security-hub-visibility	Active	29	0
https://github.com/blosc/caterva	Moved to https://github.com/ironArray/Caterva2	1208	7
https://github.com/saltstack/salt	Active	121143	2558
https://github.com/azure/terraform-azurerm-alz	Moved to https://github.com/Azure/terraform-azurerm-avm-ptn-alz	108	2
https://github.com/aws/amazon-connect-wisdomjs	Moved to https://github.com/aws/amazon-q-connectjs	38	2
https://github.com/azure/azure-center-for-sap-solutions-preview	Moved to https://github.com/Azure/Azure-Center-for-SAP-solutions	205	0
https://github.com/microsoft/microsft-purview-advanced-rich-reports-mparr-collector	Moved to https://github.com/microsoft/Microsoft-Purview-Advanced-Rich-Reports-MPARR-Collector	212	11
https://github.com/astropy/pytest-doctestplus	Moved to https://github.com/scientific-python/pytest-doctestplus	999	29
https://github.com/scikit-hep/repo-review	Moved to https://github.com/scientific-python/repo-review	326	2
https://github.com/scikit-hep/cookie	Moved to https://github.com/scientific-python/cookie	474	12
https://github.com/pyvista/pyvista-gmsh	Moved to https://github.com/pyvista/scikit-gmsh	295	2
https://github.com/aws/amazon-ecs-shim-loggers-for-containerd	Moved to https://github.com/aws/shim-loggers-for-containerd	144	3
https://github.com/konveyor/tackle2-operator	Moved to https://github.com/konveyor/operator	431	8
https://github.com/kube-rs/kube-rs	Moved to https://github.com/kube-rs/kube	2416	72
https://github.com/pyvista/scikit-gmsh	Active	295	2
https://github.com/google/medical_claims_tools	Moved to https://github.com/google/bulk_fhir_tools	183	1
https://github.com/microsoft/cbl-mariner-linux-kernel	Active	1064229	0
https://github.com/jenssegers/laravel-mongodb	Moved to https://github.com/mongodb/laravel-mongodb	1799	133
https://github.com/cmsgov/serverless-waf-plugin	Moved to https://github.com/Enterprise-CMCS/serverless-waf-plugin	48	1
https://github.com/aws/sagemaker-scikit-learn-container	Active	185	0
https://github.com/microsoft/azure_arc_community	Moved to https://github.com/microsoft/adaptive_cloud_community	155	0
https://github.com/apache/incubator-kvrocks	Moved to https://github.com/apache/kvrocks	1647	127
https://github.com/hl7/fhir-us-pq-cmc	Moved to https://github.com/HL7/FHIR-us-pq-cmc-fda	426	0
https://github.com/microsoft/aks-hci-apps	Moved to https://github.com/microsoft/AKS-Arc-Apps	96	3
https://github.com/microsoft/activemlp	Moved to https://github.com/microsoft/TokenMixers	55	3
https://github.com/quantecon/dp_text_website	Moved to https://github.com/QuantEcon/book-dp1-public	42	0
https://github.com/microsoft/azure-openai-design-patterns	Moved to https://github.com/microsoft/azure-genai-design-patterns	160	0
https://github.com/azure/sonic-buildimage-msft	Moved to https://github.com/sonic-net/sonic-buildimage-msft	7863	1
https://github.com/microsoft/adatest	Moved to https://github.com/microsoft/adaptive-testing	276	5
https://github.com/microsoft/azureadexporter	Moved to https://github.com/microsoft/EntraExporter	186	16
https://github.com/microsoft/cbl-marinertutorials	Moved to https://github.com/microsoft/azurelinux-tutorials	65	6
https://github.com/microsoft/powervirtualagentssamples	Moved to https://github.com/microsoft/CopilotStudioSamples	317	48
https://github.com/azure/windup-rulesets	Moved to https://github.com/Azure/appcat-rulesets	1782	10
https://github.com/aws/sagemaker-xgboost-container	Active	172	0
https://github.com/microsoft/arbutus	Moved to https://github.com/microsoft/blueprints	605	46
https://github.com/econ-ark/solvingmicrodsops-lifecycle	Moved to https://github.com/econ-ark/EstimatingMicroDSOPs	151	1
https://github.com/ome/openmicroscopy	Active	48749	26
https://github.com/sagemath/sage	Active	126033	4928
https://github.com/azure/eraser	Moved to https://github.com/eraser-dev/eraser	628	50
https://github.com/ant-design/ant-design	Active	28310	1126
https://github.com/aws/aws-prototyping-sdk	Moved to https://github.com/aws/aws-pdk	735	17
https://github.com/microsoft/anyonecancode	Moved to https://github.com/microsoft/everyonecancode	613	3
https://github.com/microsoft/playwright-vscode	Active	490	0
https://github.com/pandas-dev/pandas	Active	35349	3595
https://github.com/google/capsicum-linux	Active	664240	4
https://github.com/vmware/transport-go	Moved to https://github.com/vmware-archive/transport-go	205	2
https://github.com/vmware-labs/inclusive-language-ext-for-sonarqube	Moved to https://github.com/vmware-archive/inclusive-language-ext-for-sonarqube	31	0
https://github.com/vmware/transport	Moved to https://github.com/vmware-archive/transport	42	0
https://github.com/google/supply-chain	Moved to https://github.com/google/rust-crate-audits	215	0
https://github.com/microsoft/vscode-entra-externalid	Moved to https://github.com/microsoft/vscode-ms-entra	26	0
https://github.com/vmware/bridgeql	Moved to https://github.com/vmware-archive/bridgeql	99	5
https://github.com/google/model-transparency	Moved to https://github.com/sigstore/model-transparency	194	31
https://github.com/microsoft/vcpkg	Active	22871	963
https://github.com/apache/arrow	Active	16441	4438
https://github.com/sourcegraph/sourcegraph	Active	37645	4423
https://github.com/blosc/blosc2_btune	Moved to https://github.com/ironArray/Blosc2-Btune	260	2
https://github.com/microsoft/windows-ai-studio	Moved to https://github.com/microsoft/vscode-ai-toolkit	86	11
https://github.com/microsoft/azure-openai-dev-skills-orchestrator	Moved to https://github.com/microsoft/project-oagents	211	24
https://github.com/microsoft/ospo	Active	121	1
https://github.com/tc39/source-map-rfc	Moved to https://github.com/tc39/source-map	180	48
https://github.com/gsa/datagov-harvesting-logic	Moved to https://github.com/GSA/datagov-harvester	690	0
https://github.com/conda/conda	Active	16971	584
https://github.com/spring-projects/spring-framework	Active	30858	251
https://github.com/lensterxyz/lenster	Moved to https://github.com/heyxyz/hey	12348	126
https://github.com/spring-projects/spring-boot	Active	49975	562
https://github.com/web-infra-dev/rspack	Active	4315	129
https://github.com/apache/zeppelin	Active	5365	0
https://github.com/azure/azure-sdk-for-cpp	Active	3219	251
https://github.com/apache/kyuubi	Active	4055	406
https://github.com/apache/activemq-artemis	Active	10901	0
https://github.com/apache/rocketmq	Active	8544	287
https://github.com/hyperf-cloud/hyperf	Moved to https://github.com/hyperf/hyperf	8314	238
https://github.com/matteobruni/tsparticles	Moved to https://github.com/tsparticles/tsparticles	13816	12
https://github.com/aws/aws-sam-cli	Active	3302	433
https://github.com/sympy/sympy	Active	58544	4403
https://github.com/microsoft/ccf	Active	4142	84
https://github.com/apache/incubator-seatunnel	Moved to https://github.com/apache/seatunnel	4150	611
https://github.com/microsoft/onnxruntime	Active	11475	2195
https://github.com/microsoft/navcontainerhelper	Active	4308	99
https://github.com/microsoft/pylance-release	Active	436	342
https://github.com/microsoft/vscode-cmake-tools	Active	3190	413
https://github.com/azure/azure-functions-core-tools	Active	1617	639
https://github.com/redis/lettuce	Active	2430	252
https://github.com/azure/autorest.java	Active	1946	157
https://github.com/microsoft/oryx	Active	1698	77
https://github.com/redis/ioredis	Active	1300	291
https://github.com/microsoft/responsible-ai-toolbox	Active	1970	49
https://github.com/azure/azure-dev	Active	1546	664
https://github.com/microsoft/appcenter-sdk-apple	Active	11345	0
https://github.com/microsoft/accessibility-insights-service	Active	1651	4
https://github.com/redis/node-redis	Active	1980	270
https://github.com/redis/go-redis	Active	2509	165
https://github.com/microsoft/application-insights-workbooks	Active	9595	11
https://github.com/redis/redis-py	Active	2374	190
https://github.com/microsoft/recognizers-text	Active	2044	161
https://github.com/microsoft/templatestudio	Active	11701	181
https://github.com/azure/azure-resource-manager-schemas	Active	8041	99
https://github.com/redis/jedis	Active	2421	89
https://github.com/redis/redis-doc	Active	4030	57
https://github.com/microsoft/rnx-kit	Active	2967	53
https://github.com/azure/azure-sdk-for-c	Active	1838	30
